interval,model,run_idx,parameters,mean_accuracy,total_reward,adaptation_time,mean_gamma,log_likelihood,aic,bic
40,M2,4,4,0.92125,474,1.8421052631578947,2.1232159798114094,-425.6032673819757,859.2065347639514,877.944981674623
40,M2,5,4,0.91125,430,1.894736842105263,2.1002348140388225,-435.1763863676223,878.3527727352446,897.0912196459162
40,M2,6,4,0.90625,436,2.4210526315789473,2.1056513242079955,-432.56187738585976,873.1237547717195,891.8622016823912
40,M2,7,4,0.9175,478,2.210526315789474,2.1325053650383254,-421.6422585840325,851.284517168065,870.0229640787367
40,M2,8,4,0.92125,434,1.5789473684210527,2.105369369148191,-433.45538683575296,874.9107736715059,893.6492205821776
40,M2,9,4,0.90375,478,3.210526315789474,2.12579574257244,-424.09990514602475,856.1998102920495,874.9382572027212
40,M2,10,4,0.9125,448,2.263157894736842,2.1068431846256335,-432.72997186843975,873.4599437368795,892.1983906475512
40,M2,11,4,0.92875,484,2.1052631578947367,2.127404593308053,-423.314233557332,854.628467114664,873.3669140253356
40,M2,12,4,0.9125,464,2.6842105263157894,2.1224410128618887,-426.5854792032846,861.1709584065692,879.9094053172408
40,M2,13,4,0.9,472,2.6315789473684212,2.132597630853953,-422.78199770159426,853.5639954031885,872.3024423138602
40,M2,14,4,0.895,444,2.736842105263158,2.110751841034356,-430.55968588862453,869.1193717772491,887.8578186879207
40,M2,15,4,0.92125,462,2.1578947368421053,2.1198636606169736,-426.75048511322785,861.5009702264557,880.2394171371274
40,M2,16,4,0.91875,476,2.1052631578947367,2.1289033727783395,-423.36127515985345,854.7225503197069,873.4609972303786
40,M2,17,4,0.92625,500,2.1578947368421053,2.144227040497285,-416.9865195493964,841.9730390987928,860.7114860094645
40,M2,18,4,0.9175,492,2.1578947368421053,2.1460536445222704,-416.62660809945623,841.2532161989125,859.9916631095841
40,M2,19,4,0.88875,432,2.526315789473684,2.1054270799411814,-434.4047856794782,876.8095713589564,895.5480182696281
40,M3,0,14,0.89875,450,2.3157894736842106,2.4999999999974993,-41.10760016649458,110.21520033298916,175.79976452034015
40,M3,1,14,0.91125,446,2.1578947368421053,2.4999999999974993,-39.77911718171279,107.55823436342558,173.14279855077655
40,M3,2,14,0.92,482,2.3684210526315788,2.4999999999974993,-37.37833946279585,102.7566789255917,168.34124311294266
40,M3,3,14,0.8975,456,2.1578947368421053,2.4999999999974993,-37.68523020327726,103.37046040655451,168.95502459390548
40,M3,4,14,0.92,468,1.9473684210526316,2.4999999999974993,-37.38318616984456,102.76637233968913,168.35093652704012
40,M3,5,14,0.91375,430,1.894736842105263,2.4999999999974993,-42.80433963095568,113.60867926191136,179.19324344926235
40,M3,6,14,0.9025,434,2.4210526315789473,2.4999999999974993,-41.3788464362816,110.7576928725632,176.34225705991417
40,M3,7,14,0.91625,476,2.263157894736842,2.4999999999974993,-36.003677524140635,100.00735504828127,165.59191923563225
40,M3,8,14,0.92125,430,1.631578947368421,2.4999999999974993,-40.08566872001971,108.17133744003942,173.75590162739041
40,M3,9,14,0.905,476,3.0,2.4999999999974993,-38.47338632863814,104.94677265727628,170.53133684462728
40,M3,10,14,0.90875,446,2.473684210526316,2.4999999999974993,-43.56544076931434,115.13088153862869,180.71544572597966
40,M3,11,14,0.9275,482,2.1052631578947367,2.4999999999974993,-38.65004409626593,105.30008819253186,170.88465237988282
40,M3,12,14,0.915,472,2.6842105263157894,2.4999999999974993,-39.86033980045899,107.72067960091798,173.30524378826897
40,M3,13,14,0.90625,482,2.6315789473684212,2.4999999999974993,-39.326254213062185,106.65250842612437,172.23707261347533
40,M3,14,14,0.89375,442,2.789473684210526,2.4999999999974993,-39.63625326696464,107.27250653392927,172.85707072128025
40,M3,15,14,0.92375,466,2.1578947368421053,2.4999999999974993,-35.87144515414338,99.74289030828676,165.32745449563774
40,M3,16,14,0.92125,480,2.1052631578947367,2.4999999999974993,-38.028854371149905,104.05770874229981,169.6422729296508
40,M3,17,14,0.92625,496,2.1578947368421053,2.4999999999974993,-34.84502365419017,97.69004730838034,163.27461149573134
40,M3,18,14,0.92,496,2.1578947368421053,2.4999999999974993,-34.91059634903395,97.8211926980679,163.4057568854189
40,M3,19,14,0.88875,432,2.6842105263157894,2.4999999999974993,-45.79966190349124,119.59932380698248,185.18388799433347
